athlete_id,name,age,gender,location,nationality,latitude,longitude,primary_sport,secondary_sport,competition_level,years_training,height_cm,weight_kg,bmi,estimated_vo2max,social_network_size,coaching_support,training_partners,career_status,communication_preference,personality_score
ATH_0020,Sara Bianchi,18,Female,"Santiago, Chile",Chile,-33.4,-70.6,Football,,Beginner,1,166,68,24.7,37,62,1,0,Active,App-based,5.2
ATH_0021,Chen Lee,38,Male,"Cologne, Germany",Germany,50.9,6.9,Skiing,Boxing,Elite Amateur,16,180,73,22.5,52,36,1,1,Active,Text-focused,2.0
ATH_0022,Kiran Liu,28,Male,"Gothenburg, Sweden",Sweden,57.7,11.9,Triathlon,,Beginner,1,185,54,15.8,45,34,1,1,Active,Mixed,6.1
ATH_0023,Sandra Wright,25,Female,"Cologne, Germany",Germany,50.9,6.9,Running,,Beginner,2,150,49,21.8,42,31,0,2,Active,Text-focused,5.5
ATH_0024,Markus Schulz,36,Male,"Lyon, France",France,45.7,4.8,Climbing,,Elite Amateur,19,176,78,25.2,63,55,1,2,Active,Mixed,7.8
ATH_0025,Pooja Robert,28,Female,"Busan, South Korea",South Korea,35.1,129.0,Hiking,,Advanced,9,158,45,18.0,47,81,1,3,Active,Mixed,8.3
ATH_0026,Ryu Hernandez,27,Male,"Amsterdam, Netherlands",Netherlands,52.3,4.8,Basketball,,Beginner,1,165,74,27.2,42,19,1,0,Active,Text-focused,1.9
ATH_0027,Sakura Esposito,21,Female,"Paris, France",France,48.8,2.3,Tennis,,Beginner,3,163,53,19.9,32,36,0,0,Active,Mixed,6.1
ATH_0028,Mei Thomas,33,Female,"Pune, India",India,18.5,73.8,CrossFit,,Semi-Pro,16,170,71,24.6,61,63,1,4,Active,Mixed,7.7
ATH_0029,Shreya Wright,43,Female,"Seville, Spain",Spain,37.3,-5.9,Volleyball,,Advanced,9,167,56,20.1,46,25,1,1,Active,App-based,2.3
ATH_0030,Olivier Lewis,27,Male,"Dallas, USA",USA,32.7,-96.7,Rowing,,Intermediate,4,171,82,28.0,47,62,0,0,Active,Mixed,6.7
ATH_0031,Thomas Nakamura,31,Male,"Buenos Aires, Argentina",Argentina,-34.6,-58.3,Rowing,,Intermediate,6,183,52,15.5,49,47,0,3,Active,Voice-focused,9.8
ATH_0032,Sara Ferrari,31,Female,"Houston, USA",USA,29.7,-95.3,Rugby,,Intermediate,3,170,67,23.2,44,47,1,2,Active,App-based,5.9
ATH_0033,Robert Nakamura,43,Male,"Buenos Aires, Argentina",Argentina,-34.6,-58.3,Triathlon,Skiing,Advanced,6,196,86,22.4,44,24,1,0,Active,Email-focused,2.3
ATH_0034,Daiki King,53,Male,"Seoul, South Korea",South Korea,37.5,126.9,Skiing,,Advanced,8,183,91,27.2,50,33,1,1,Active,Email-focused,1.4
ATH_0035,Leonardo Durand,37,Male,"Seville, Spain",Spain,37.3,-5.9,Rugby,Climbing,Advanced,7,188,87,24.6,49,31,1,2,Active,App-based,1.1
ATH_0036,Anthony Sharma,43,Male,"Kyoto, Japan",Japan,35.0,135.7,Skiing,,Intermediate,4,169,60,21.0,39,22,1,1,Active,App-based,1.5
ATH_0037,Liu Mehta,37,Male,"Seville, Spain",Spain,37.3,-5.9,Climbing,,Intermediate,3,177,58,18.5,48,29,1,1,Active,App-based,4.6
ATH_0038,Lena Sanchez,25,Female,"Austin, USA",USA,30.2,-97.7,CrossFit,,Advanced,9,164,73,27.1,45,16,0,0,Active,App-based,0.8
ATH_0039,Luca Becker,32,Male,"Tokyo, Japan",Japan,35.6,139.6,Basketball,,Intermediate,6,167,85,30.5,51,46,1,1,Active,App-based,4.0
ATH_0040,Manon Schmidt,28,Female,"Turin, Italy",Italy,45.0,7.6,CrossFit,Running,Advanced,6,161,45,17.4,45,60,1,2,Active,Text-focused,4.1
ATH_0041,Yuki Kobayashi,27,Female,"Toronto, Canada",Canada,43.6,-79.3,Football,,Intermediate,6,166,65,23.6,49,5,1,0,Active,Text-focused,0.1
ATH_0042,Joshua Martin,36,Male,"St Petersburg, Russia",Russia,59.9,30.3,Triathlon,Climbing,Intermediate,6,180,75,23.1,45,23,1,1,Active,App-based,3.9
ATH_0043,Jessica Marino,34,Female,"London, UK",UK,51.5,-0.1,Triathlon,,Intermediate,3,168,60,21.3,43,29,1,0,Active,App-based,2.7
ATH_0044,Daiki Desai,29,Male,"San Jose, USA",USA,37.3,-121.8,Volleyball,Football,Advanced,9,170,52,18.0,56,28,1,1,Active,Voice-focused,6.5
ATH_0045,Divya Thomas,40,Female,"Sydney, Australia",Australia,-33.8,151.2,Football,Skiing,Advanced,13,160,49,19.1,47,7,0,0,Active,Email-focused,0.4
ATH_0046,Inès Richard,25,Female,"Naples, Italy",Italy,40.8,14.2,Swimming,,Intermediate,8,154,56,23.6,43,14,0,0,Active,Email-focused,0.1
ATH_0047,Kaito Wilson,30,Male,"Hamburg, Germany",Germany,53.5,10.0,Football,,Advanced,12,172,91,30.8,50,62,1,2,Active,App-based,3.5
ATH_0048,Ryu Hoffmann,25,Male,"Sydney, Australia",Australia,-33.8,151.2,Basketball,,Advanced,9,173,78,26.1,51,23,1,0,Active,App-based,4.9
ATH_0049,Chen Tanaka,55,Male,"Hamburg, Germany",Germany,53.5,10.0,Tennis,,Beginner,1,178,78,24.6,40,16,0,1,Active,Email-focused,0.2
ATH_0050,Wei Desai,32,Male,"Santiago, Chile",Chile,-33.4,-70.6,Hiking,,Advanced,8,181,83,25.3,52,59,0,3,Active,Mixed,6.1
ATH_0051,Sara Bianchi,29,Female,"Toronto, Canada",Canada,43.6,-79.3,Rowing,,Intermediate,7,170,53,18.3,39,53,0,1,Active,Email-focused,5.4
ATH_0052,Chloé Müller,30,Female,"Busan, South Korea",South Korea,35.1,129.0,Rugby,,Advanced,8,158,73,29.2,47,41,1,2,Active,App-based,5.5
ATH_0053,John Yamamoto,32,Male,"Berlin, Germany",Germany,52.5,13.4,Swimming,,Beginner,2,166,86,31.2,47,12,0,0,Active,Email-focused,2.6
ATH_0054,Maximilian Jones,43,Male,"Johannesburg, South Africa",South Africa,-26.2,28.0,Boxing,Running,Intermediate,4,187,82,23.4,44,25,1,0,Active,App-based,1.0
ATH_0055,Youssef Zhao,40,Male,"Bangalore, India",India,12.9,77.5,Hiking,,Advanced,8,184,87,25.7,53,88,0,4,Active,Voice-focused,9.2
ATH_0056,Li Robert,43,Male,"Los Angeles, USA",USA,34.0,-118.2,Football,,Advanced,8,184,67,19.8,55,58,0,2,Retired,Email-focused,0.0
ATH_0057,Klaus Wilson,31,Male,"Valencia, Spain",Spain,39.4,-0.3,Football,,Semi-Pro,14,172,82,27.7,64,88,1,0,Active,Voice-focused,6.5
ATH_0058,Elena Ricci,58,Female,"Osaka, Japan",Japan,34.6,135.5,Football,,Advanced,8,166,70,25.4,38,21,1,1,Active,App-based,5.3
ATH_0059,Alexandre Shah,51,Male,"Cologne, Germany",Germany,50.9,6.9,Boxing,,Elite Amateur,18,181,94,28.7,56,15,1,1,Active,App-based,0.4
ATH_0060,Antoine Robinson,48,Male,"Shanghai, China",China,31.2,121.4,Basketball,,Beginner,2,193,70,18.8,41,42,0,2,Active,Email-focused,1.9
ATH_0061,Rio Walker,47,Female,"Melbourne, Australia",Australia,-37.8,144.9,CrossFit,Running,Intermediate,7,179,64,20.0,40,27,0,1,Active,Email-focused,0.9
ATH_0062,Chen Schulz,26,Male,"Liverpool, UK",UK,53.4,-2.9,Skiing,,Advanced,10,172,83,28.1,57,5,1,0,Active,Email-focused,1.1
ATH_0063,Ren Zhao,46,Male,"Toulouse, France",France,43.6,1.4,Rugby,,Intermediate,8,160,84,32.8,51,5,0,0,Active,App-based,1.6
ATH_0064,Hana Lewis,37,Female,"Istanbul, Turkey",Turkey,41.0,28.9,Basketball,,Intermediate,4,167,62,22.2,39,52,0,1,Active,Email-focused,5.5
ATH_0065,James Torres,22,Male,"Berlin, Germany",Germany,52.5,13.4,Volleyball,Running,Beginner,3,187,75,21.4,44,57,1,1,Active,Email-focused,5.1
ATH_0066,Alexandre Rodriguez,26,Male,"Melbourne, Australia",Australia,-37.8,144.9,Hiking,Rowing,Beginner,3,170,79,27.3,48,27,0,1,Active,App-based,1.6
ATH_0067,Emma Suzuki,26,Female,"Hyderabad, India",India,17.3,78.4,Hiking,,Beginner,1,166,63,22.9,42,21,0,1,Retired,App-based,0.7
ATH_0068,Daiki Anderson,37,Male,"Santiago, Chile",Chile,-33.4,-70.6,Rowing,,Elite Amateur,16,176,66,21.3,60,15,1,0,Active,App-based,1.1
ATH_0069,Thomas Lopez,32,Male,"Austin, USA",USA,30.2,-97.7,Skiing,,Intermediate,4,179,77,24.0,47,6,0,0,Active,Email-focused,2.0
ATH_0070,Min Colombo,36,Female,"Gothenburg, Sweden",Sweden,57.7,11.9,Triathlon,,Intermediate,6,159,74,29.3,42,52,0,2,Active,Text-focused,4.9
ATH_0071,Silvia Richard,45,Female,"Moscow, Russia",Russia,55.7,37.6,Rugby,,Advanced,6,180,67,20.7,49,61,1,2,Active,App-based,5.5
ATH_0072,Manon Martin,27,Female,"Houston, USA",USA,29.7,-95.3,Tennis,,Intermediate,5,171,69,23.6,44,57,1,0,Active,Voice-focused,6.6
ATH_0073,Ryu Gupta,21,Male,"Toronto, Canada",Canada,43.6,-79.3,Triathlon,,Advanced,6,172,67,22.6,56,45,1,3,Active,Mixed,6.7
ATH_0074,Ana Sasaki,20,Female,"Liverpool, UK",UK,53.4,-2.9,Cycling,,Beginner,3,164,56,20.8,39,62,0,1,Active,Mixed,8.8
ATH_0075,Mohammed Esposito,18,Male,"Delhi, India",India,28.6,77.2,Tennis,,Beginner,2,167,67,24.0,46,107,0,7,Active,Mixed,7.4
ATH_0076,Christopher Kumar,33,Male,"Gothenburg, Sweden",Sweden,57.7,11.9,Volleyball,,Intermediate,7,177,68,21.7,46,11,1,0,Active,App-based,1.5
ATH_0077,Ying Clark,27,Female,"Cologne, Germany",Germany,50.9,6.9,Climbing,,Beginner,3,156,53,21.8,37,18,0,1,Active,Email-focused,4.4
ATH_0078,Donna Reddy,41,Female,"Dallas, USA",USA,32.7,-96.7,Volleyball,Climbing,Intermediate,3,154,66,27.8,41,75,1,0,Active,Voice-focused,8.3
ATH_0079,Martina Weber,45,Female,"Beijing, China",China,39.9,116.4,Volleyball,Running,Advanced,6,155,66,27.5,46,17,1,1,Active,Email-focused,4.5
ATH_0080,Pierre Hernandez,41,Male,"Montreal, Canada",Canada,45.5,-73.5,Skiing,,Advanced,13,176,73,23.6,51,5,1,0,Active,App-based,2.6
ATH_0081,Sarah Zhang,41,Female,"London, UK",UK,51.5,-0.1,Football,,Advanced,15,157,58,23.5,43,64,1,1,Active,Mixed,6.6
ATH_0082,Nancy Green,23,Female,"Moscow, Russia",Russia,55.7,37.6,Rugby,,Beginner,3,156,75,30.8,33,103,0,4,Active,Voice-focused,10.0
ATH_0083,Diego Li,27,Male,"Toronto, Canada",Canada,43.6,-79.3,Swimming,,Beginner,1,190,129,35.7,44,47,0,0,Active,Mixed,8.9
ATH_0084,Yui Sasaki,27,Female,"Johannesburg, South Africa",South Africa,-26.2,28.0,Rowing,Rugby,Beginner,2,166,58,21.0,35,45,0,2,Active,Mixed,6.7
ATH_0085,Sara Richard,49,Female,"Dubai, UAE",UAE,25.2,55.2,Football,,Advanced,14,171,60,20.5,43,5,0,0,Active,App-based,3.1
ATH_0086,Markus Thomas,57,Male,"Amsterdam, Netherlands",Netherlands,52.3,4.8,Rowing,,Elite Amateur,12,181,79,24.1,54,30,0,1,Active,App-based,2.0
ATH_0087,Christopher Zhao,31,Male,"Madrid, Spain",Spain,40.4,-3.7,Rugby,,Advanced,11,195,82,21.6,52,28,1,1,Active,Email-focused,1.3
ATH_0088,Robert King,37,Male,"Toulouse, France",France,43.6,1.4,Skiing,,Advanced,12,183,61,18.2,54,35,1,0,Active,Text-focused,2.4
ATH_0089,Lorenzo Schulz,21,Male,"Chicago, USA",USA,41.8,-87.6,Skiing,,Beginner,2,170,64,22.1,45,69,0,1,Active,Email-focused,3.2
ATH_0090,Lukas Weber,54,Male,"Santiago, Chile",Chile,-33.4,-70.6,Running,,Advanced,11,193,80,21.5,51,76,0,2,Active,Voice-focused,7.8
ATH_0091,Kimberly Garcia,41,Female,"Osaka, Japan",Japan,34.6,135.5,Swimming,,Elite Amateur,20,151,57,25.0,51,5,1,0,Active,Text-focused,2.3
ATH_0092,David Chen,28,Male,"Gothenburg, Sweden",Sweden,57.7,11.9,CrossFit,Basketball,Intermediate,3,154,73,30.8,47,47,1,0,Active,Email-focused,4.9
ATH_0093,Karim Li,32,Male,"Stuttgart, Germany",Germany,48.7,9.1,Boxing,,Advanced,10,168,76,26.9,49,60,1,4,Active,Voice-focused,6.7
ATH_0094,Ravi Ricci,40,Male,"Delhi, India",India,28.6,77.2,Rowing,,Beginner,2,181,87,26.6,40,31,0,0,Active,Voice-focused,6.3
ATH_0095,Michael Jackson,38,Male,"Cairo, Egypt",Egypt,30.0,31.2,Swimming,,Beginner,3,174,63,20.8,45,16,0,0,Active,Email-focused,2.7
ATH_0096,Andreas Huang,19,Male,"Shanghai, China",China,31.2,121.4,Cycling,Climbing,Beginner,1,175,84,27.4,45,54,0,2,Active,Mixed,9.3
ATH_0097,Antonio Thomas,53,Male,"Liverpool, UK",UK,53.4,-2.9,Boxing,Football,Advanced,7,182,64,19.3,43,108,0,5,Active,Voice-focused,9.0
ATH_0098,Nour Meyer,38,Female,"Madrid, Spain",Spain,40.4,-3.7,Swimming,Basketball,Intermediate,6,168,67,23.7,41,121,1,8,Active,Voice-focused,7.6
ATH_0099,Andreas Singh,43,Male,"Shenzhen, China",China,22.5,114.1,Basketball,,Advanced,13,180,72,22.2,53,28,1,0,Active,Text-focused,5.2
ATH_0100,Wu Thompson,19,Male,"Hamburg, Germany",Germany,53.5,10.0,Basketball,,Advanced,6,173,93,31.1,54,92,1,4,Active,Mixed,8.0
ATH_0101,Sara Bianchi,27,Female,"Munich, Germany",Germany,48.1,11.5,Boxing,,Advanced,10,170,74,25.6,49,138,1,4,Active,Voice-focused,7.8
ATH_0102,Lisa Hill,35,Female,"Stockholm, Sweden",Sweden,59.3,18.0,Climbing,,Advanced,13,153,63,26.9,46,27,1,1,Active,App-based,0.2
ATH_0103,Arjun Taylor,41,Male,"Seoul, South Korea",South Korea,37.5,126.9,Triathlon,,Advanced,10,173,73,24.4,53,18,1,1,Active,Email-focused,2.9
ATH_0104,Julie Chen,45,Female,"Paris, France",France,48.8,2.3,CrossFit,,Advanced,10,165,50,18.4,45,66,1,3,Active,Voice-focused,9.5
ATH_0105,Haruki Müller,35,Male,"Amsterdam, Netherlands",Netherlands,52.3,4.8,Tennis,Hiking,Intermediate,5,161,71,27.4,43,44,1,1,Active,Text-focused,4.9
ATH_0106,Julien Rossi,32,Male,"Turin, Italy",Italy,45.0,7.6,Hiking,,Beginner,1,183,60,17.9,47,19,1,1,Active,Text-focused,3.7
ATH_0107,Pierre Zhang,19,Male,"Melbourne, Australia",Australia,-37.8,144.9,Boxing,,Intermediate,3,172,74,25.0,49,103,1,4,Active,Mixed,7.8
ATH_0108,Wu Müller,34,Male,"Chicago, USA",USA,41.8,-87.6,Tennis,,Advanced,6,170,87,30.1,52,63,1,4,Active,Voice-focused,8.4
ATH_0109,Vincent Wu,45,Male,"Berlin, Germany",Germany,52.5,13.4,Hiking,,Elite Amateur,11,180,68,21.0,60,91,1,3,Active,Voice-focused,9.5
ATH_0110,Claire Moore,36,Female,"Rio de Janeiro, Brazil",Brazil,-22.9,-43.2,Climbing,,Advanced,12,167,71,25.5,48,44,0,1,Active,Email-focused,4.4
ATH_0111,Silvia Schmidt,40,Female,"Paris, France",France,48.8,2.3,Football,,Intermediate,5,170,62,21.5,36,29,0,1,Active,App-based,1.7
ATH_0112,Ashley Esposito,40,Female,"Buenos Aires, Argentina",Argentina,-34.6,-58.3,Rugby,,Intermediate,4,151,81,35.5,43,20,0,1,Active,App-based,1.2
ATH_0113,Matteo Leroy,40,Male,"Naples, Italy",Italy,40.8,14.2,Hiking,,Intermediate,3,184,89,26.3,44,39,0,0,Active,Voice-focused,6.5
ATH_0114,Luca Lee,36,Male,"Shenzhen, China",China,22.5,114.1,Rowing,Volleyball,Advanced,9,167,55,19.7,50,25,1,0,Active,Text-focused,0.1
ATH_0115,Sofia Shah,60,Female,"Cologne, Germany",Germany,50.9,6.9,Rugby,,Intermediate,6,167,62,22.2,42,100,0,2,Active,Voice-focused,9.5
ATH_0116,Kiran Bernard,50,Male,"Buenos Aires, Argentina",Argentina,-34.6,-58.3,Swimming,,Elite Amateur,17,162,72,27.4,61,75,1,5,Active,Mixed,7.9
ATH_0117,Giorgio Richard,29,Male,"Paris, France",France,48.8,2.3,Boxing,,Intermediate,6,183,95,28.4,49,41,0,0,Active,Text-focused,4.1
ATH_0118,Antoine Scott,32,Male,"Helsinki, Finland",Finland,60.1,24.9,Running,,Intermediate,5,174,92,30.4,47,72,1,2,Active,Voice-focused,9.4
ATH_0119,Yui Thomas,40,Female,"Rotterdam, Netherlands",Netherlands,51.9,4.4,Swimming,,Advanced,13,161,68,26.2,41,24,1,1,Active,Email-focused,2.7
ATH_0120,Nancy Becker,45,Female,"Chennai, India",India,13.0,80.2,Boxing,,Advanced,6,158,62,24.8,39,113,1,2,Active,Voice-focused,7.7
ATH_0121,Stefan Lopez,34,Male,"São Paulo, Brazil",Brazil,-23.5,-46.6,Swimming,Running,Advanced,13,174,77,25.4,52,26,1,1,Active,Email-focused,4.8
ATH_0122,Riya Liu,25,Female,"Dallas, USA",USA,32.7,-96.7,Boxing,,Beginner,2,162,61,23.2,38,68,0,3,Retired,App-based,5.3
ATH_0123,Nancy Petit,52,Female,"Buenos Aires, Argentina",Argentina,-34.6,-58.3,Cycling,,Intermediate,7,173,76,25.4,39,18,0,0,Retired,Text-focused,0.5
ATH_0124,Elena Allen,31,Female,"Pune, India",India,18.5,73.8,Boxing,Running,Elite Amateur,10,162,69,26.3,52,48,1,0,Active,Text-focused,2.1
ATH_0125,Wei Ito,36,Male,"Philadelphia, USA",USA,39.9,-75.1,Triathlon,,Advanced,6,173,81,27.1,60,53,1,2,Active,Email-focused,1.5
ATH_0126,Ryu Wagner,27,Male,"Madrid, Spain",Spain,40.4,-3.7,CrossFit,,Elite Amateur,10,172,80,27.0,57,36,1,1,Active,Email-focused,5.3
ATH_0127,Wu Wu,27,Male,"Stuttgart, Germany",Germany,48.7,9.1,Rugby,Triathlon,Intermediate,8,177,63,20.1,52,36,1,1,Active,App-based,1.7
ATH_0128,Ravi Zhao,26,Male,"Jacksonville, USA",USA,30.3,-81.6,Running,,Intermediate,8,163,72,27.1,49,45,1,1,Active,App-based,4.4
ATH_0129,Marco Ito,49,Male,"Leeds, UK",UK,53.8,-1.5,Boxing,,Intermediate,7,178,54,17.0,43,46,1,2,Active,Mixed,6.5
ATH_0130,Felix Agarwal,33,Male,"London, UK",UK,51.5,-0.1,Volleyball,,Advanced,9,181,58,17.7,56,54,1,1,Active,Voice-focused,9.1
ATH_0131,Donna Clark,40,Female,"Helsinki, Finland",Finland,60.1,24.9,Triathlon,,Advanced,11,167,74,26.5,51,79,0,5,Active,Mixed,8.7
ATH_0132,Stefan Harris,22,Male,"Buenos Aires, Argentina",Argentina,-34.6,-58.3,CrossFit,Volleyball,Beginner,1,197,75,19.3,43,124,0,6,Active,Voice-focused,7.1
ATH_0133,Mustafa Davis,32,Male,"Johannesburg, South Africa",South Africa,-26.2,28.0,Boxing,CrossFit,Intermediate,6,165,54,19.8,49,117,1,0,Active,Mixed,8.5
ATH_0134,Betty Gonzalez,38,Female,"Brasília, Brazil",Brazil,-15.7,-47.8,CrossFit,,Intermediate,5,168,68,24.1,44,25,1,1,Active,App-based,1.8
ATH_0135,Hiroshi Dubois,37,Male,"Phoenix, USA",USA,33.4,-112.0,CrossFit,,Advanced,6,184,81,23.9,52,44,0,2,Active,App-based,5.0
ATH_0136,Mateo Lewis,25,Male,"St Petersburg, Russia",Russia,59.9,30.3,Cycling,,Advanced,8,175,76,24.8,52,107,1,5,Retired,Voice-focused,7.0
ATH_0137,Karen Flores,42,Female,"Hamburg, Germany",Germany,53.5,10.0,Rugby,,Intermediate,7,156,57,23.4,44,55,1,0,Active,Mixed,9.7
ATH_0138,Martina Kumar,34,Female,"Oslo, Norway",Norway,59.9,10.7,Rowing,Triathlon,Intermediate,5,170,63,21.8,40,53,1,3,Active,Voice-focused,7.7
ATH_0139,Hana Suzuki,19,Female,"Munich, Germany",Germany,48.1,11.5,Cycling,,Beginner,2,164,54,20.1,40,5,1,0,Active,Text-focused,2.9
ATH_0140,Youssef Rossi,18,Male,"Jacksonville, USA",USA,30.3,-81.6,Rugby,Tennis,Beginner,2,166,65,23.6,48,37,0,2,Active,Voice-focused,7.5
ATH_0141,Felix Jackson,29,Male,"Dallas, USA",USA,32.7,-96.7,Football,,Intermediate,3,182,82,24.8,54,5,0,0,Active,Email-focused,1.7
ATH_0142,Ali Greco,21,Male,"Busan, South Korea",South Korea,35.1,129.0,Basketball,Rowing,Intermediate,5,181,67,20.5,50,32,1,2,Active,Text-focused,1.8
ATH_0143,Emma Esposito,35,Female,"Seville, Spain",Spain,37.3,-5.9,Volleyball,Skiing,Intermediate,3,161,71,27.4,40,34,0,0,Active,Email-focused,0.1
ATH_0144,Huang Durand,43,Male,"Dallas, USA",USA,32.7,-96.7,Tennis,,Advanced,8,183,55,16.4,50,67,1,3,Active,Mixed,7.0
ATH_0145,Ren Shah,33,Male,"Buenos Aires, Argentina",Argentina,-34.6,-58.3,Skiing,,Elite Amateur,11,197,83,21.4,60,33,1,0,Active,Email-focused,1.1
ATH_0146,Kavya Wilson,41,Female,"Los Angeles, USA",USA,34.0,-118.2,Skiing,,Advanced,15,169,68,23.8,43,43,1,1,Active,Email-focused,3.4
ATH_0147,Huang Shah,18,Male,"Austin, USA",USA,30.2,-97.7,Swimming,,Beginner,2,191,93,25.5,46,14,0,0,Active,Text-focused,0.5
ATH_0148,Robert Li,26,Male,"Manchester, UK",UK,53.4,-2.2,Skiing,,Intermediate,4,174,68,22.5,48,58,1,3,Active,Voice-focused,9.4
ATH_0149,Michael Ito,42,Male,"Lagos, Nigeria",Nigeria,6.5,3.3,Tennis,,Intermediate,8,183,68,20.3,49,52,0,0,Active,Voice-focused,6.8
ATH_0150,Wang Robert,26,Male,"Toronto, Canada",Canada,43.6,-79.3,Hiking,,Intermediate,6,167,74,26.5,48,58,0,1,Active,Mixed,9.6
ATH_0151,Jing Anderson,28,Female,"Stuttgart, Germany",Germany,48.7,9.1,Tennis,Swimming,Intermediate,4,161,65,25.1,41,12,1,0,Active,Email-focused,2.8
ATH_0152,Youssef Johnson,25,Male,"Toronto, Canada",Canada,43.6,-79.3,CrossFit,,Advanced,9,187,92,26.3,56,32,0,1,Active,App-based,3.6
ATH_0153,Juan Robinson,25,Female,"Mexico City, Mexico",Mexico,19.4,-99.1,Hiking,Volleyball,Advanced,9,162,80,30.5,47,19,1,1,Active,Email-focused,1.0
ATH_0154,Anthony Ito,31,Male,"Seville, Spain",Spain,37.3,-5.9,Rowing,,Intermediate,3,169,119,41.7,52,5,0,0,Active,Text-focused,5.3
ATH_0155,Miguel Marino,42,Male,"Liverpool, UK",UK,53.4,-2.9,Volleyball,,Beginner,2,181,55,16.8,41,20,1,1,Active,App-based,4.1
ATH_0156,Matthew Moore,59,Male,"Shenzhen, China",China,22.5,114.1,Rugby,,Advanced,8,198,58,14.8,54,26,0,1,Active,App-based,1.4
ATH_0157,Yuki Sasaki,26,Female,"Jacksonville, USA",USA,30.3,-81.6,Skiing,,Elite Amateur,10,155,72,30.0,53,43,1,2,Active,Voice-focused,7.6
ATH_0158,Mia Kumar,26,Female,"Toulouse, France",France,43.6,1.4,Rowing,,Intermediate,5,178,59,18.6,46,60,0,3,Active,Mixed,9.4
ATH_0159,Robert Thomas,43,Male,"Hamburg, Germany",Germany,53.5,10.0,Tennis,Basketball,Intermediate,8,177,75,23.9,43,84,1,2,Active,Voice-focused,6.6
ATH_0160,Priya Dupont,36,Female,"Gothenburg, Sweden",Sweden,57.7,11.9,Tennis,Volleyball,Advanced,7,163,46,17.3,46,73,1,1,Active,Email-focused,4.8
